,XLK,XLF,XLV,XLY,XLI,XLP,XLE,XLU,XLRE,XLB
2019-09-30,0.31479960544292157,0.05577475697112309,0.0,0.08773569595522981,0.0,0.18766564682118672,0.0,0.18189040295752124,0.1721338918520176,0.0
2019-10-31,0.3127175070621004,0.06328253958343444,0.07880901524932402,0.0,0.0,0.19045472950292555,0.0,0.18872663059212594,0.1660095780100896,0.0
2019-11-30,0.32909822384676496,0.1146438407289452,0.10051670060998251,0.14229848601347947,0.07511983819764022,0.06607780944359293,0.05692911091329044,0.0628659398171598,0.047129534623456086,0.005320515805688424
2019-12-31,0.45790247894222147,0.20949410817776543,0.236634679091117,0.0,8.272123762885497e-18,0.029293937145392017,0.0,0.050324328817309354,0.016350467826194662,2.4021854384131958e-18
2020-01-31,0.4625328432466594,0.025230647688545316,0.23989491118217357,0.0,3.2085608041992905e-18,0.023475511703209863,3.1611269591530496e-18,0.23577499940634813,0.013091086773063811,1.006275141338109e-17
2020-02-29,0.49644434648095936,0.0638193836348789,0.22946353931594837,0.05721272773116911,0.0,0.007574599544835178,0.0,0.14548540329220916,5.590417451878382e-19,0.0
2020-03-31,0.4434452640406955,0.0,0.21378752404271698,0.07093560744096668,2.6969529040576923e-18,0.23216089650831256,1.8031637381149546e-17,0.039670707967308295,4.404571325722362e-19,2.1988975310721637e-18
2020-04-30,0.43454382371852646,0.0,0.2076262691766801,0.21755722716449358,0.0,0.09999545031415517,1.7875783318854754e-17,0.03531628242577087,0.0049609472003738254,0.0
2020-05-31,0.43435270924625685,1.156174763355239e-18,0.21361778967523218,0.21353161980334015,1.497952557572349e-18,0.10186679759478659,0.0,0.03410057911613075,0.0025305045642534585,1.4865826531139714e-17
2020-06-30,0.4372209321144102,6.27143194147084e-18,0.21651398524576257,0.2072720822870298,0.0,0.10537723603300055,0.0,0.03361576431979695,0.0,0.0
2020-07-31,0.4382646422360634,8.354921233479605e-19,0.2101222409399765,0.2122735924252542,4.41155934753721e-18,0.10272105680402445,1.6112684239144928e-18,0.03599009192164571,0.0006283756730358334,3.5868668942667416e-18
2020-08-31,0.40864164335254205,0.034727874948235295,0.10998841175926652,0.22622490800312414,0.0603388757633306,0.07890068256216909,0.0,9.539685881884774e-19,0.003212407424214943,0.07796519618711736
2020-09-30,0.35329321953022635,0.11515739585045363,0.11372250143462437,0.1743742853471443,0.07394015042549208,0.08841638268814382,0.019467964477586776,0.014887802144398643,0.0076625382342256545,0.039077759867704336
2020-10-31,0.3798654420552149,0.10937905517114682,0.07021523001199968,0.1969536962855899,0.06929668988680843,0.08911668553328642,2.929550214408701e-19,0.02202907351728591,1.8465318250143747e-19,0.06314412753866798
2020-11-30,0.3379551590256294,0.11097235073347886,0.1099061931039949,0.19484223162700137,0.10980194591209048,0.07668824471221772,0.0,0.0,8.775261333554552e-19,0.059833874885587286
2020-12-31,0.33554342217194255,0.13179408177093987,0.11325590117838642,0.15712811381370914,0.08859124114675165,0.08951389357898036,0.02122715233508319,0.016463843421633102,0.009069277216399147,0.03741307336617458
2021-01-31,0.335680926807029,0.06715753241094487,0.11395642545540242,0.10749351728148067,0.024761805926097277,0.13893072792264688,0.036759213367004384,0.07989063406876189,0.07346886738298233,0.02190034937765034
2021-02-28,0.33708662440921583,0.051506850436100024,0.1620258835884812,0.14946819691786903,0.05283313605632604,0.14252122532369665,0.0,0.08018914256258032,0.024368940705730834,0.0
2021-03-31,0.33770175476554426,0.059213642696325536,0.16445897214575977,0.15437024668023647,0.01861090794110279,0.1437498774433753,3.8109872962867066e-20,0.08033184508631627,0.02417340737872314,0.017389345862616534
2021-04-30,0.3379945600054547,0.05937672566980712,0.16381524450824975,0.15412135410297823,0.01950458021683698,0.14374459317511595,0.0,0.07903553821531079,0.024545324664257587,0.017862079441988962
2021-05-31,0.33638625587979754,0.06868276253733949,0.11321131962021813,0.19228897308604645,0.062351492348885304,0.1331799775551189,0.0,0.06917516464241984,0.024724054330174376,0.0
2021-06-30,0.3364580776111647,0.06993630061815632,0.11441358657986773,0.1932134255416709,0.06990514084232796,0.13418843469578298,0.0,0.06153043312627485,0.0,0.02035460098475442
2021-07-31,0.3364181944079072,0.06717214896764553,0.11437046914089592,0.1934721161614522,0.07025238705516,0.13557416090486063,0.0,0.061869000955291756,0.0,0.02087152240678685
2021-08-31,0.422245798722272,0.08403061812473678,0.19594164712744797,0.0727158647182815,0.05514743361857929,0.021382178696214775,0.0,0.03374296531587609,0.10541980429270745,0.009373689383884097
2021-09-30,0.3471297149411686,0.12757127453432043,0.11480140102218356,0.15366671850493946,0.06281093590652398,0.09358961908657426,0.037030932692949034,0.01517861938231814,0.0368694296190786,0.011351354309943893
